input_name,input_url,profile_name,first_name,last_name,profile_url,secondary_occupation,sub_speciality_occupations,main_primary_occupation,job_title,alternative_job_title,address,city,state,active_certifications_licenses,other_licenses,board_certification,screenshot_file,scrape_status,scrape_notes
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Lauren Anderson,Lauren,Anderson,https://www.doximity.com/pub/lauren-anderson-md-d1d16a3c,Oral & Maxillofacial Surgery,,,MD,Physician,"33 Bartlett St, Ste 103, Lowell, MA 01852",Lowell,MA,,Uconn School Of Medicine - Class of 2019,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Lauren_Anderson_lauren-anderson-md-d1d16a3c.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Paul Edward Anderson Jr.,Paul,Jr.,https://www.doximity.com/pub/paul-anderson-md-9d7f9861,Oral & Maxillofacial Surgery,,,MD,Physician,"262 S Peachtree Pkwy, Suite 1, Peachtree City, GA 30269",Peachtree City,GA,,University of Maryland School of Medicine - Class of 1998,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Paul_Jr_paul-anderson-md-9d7f9861.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,James Adam Andrews,James,Andrews,https://www.doximity.com/pub/james-andrews-md-b0c61dd7,Oral & Maxillofacial Surgery,,,MD,Physician,"1000 W Nifong Blvd, Bldg 4 Ste 100, Columbia, MO 65203",Columbia,MO,"MO State Medical License [2002 - 2030], NC State Medical License [2022 - 2027], NC State Medical License [2022 - 2026]",Texas Tech University Health Sciences Center School of Medicine - Class of 2000,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\James_Andrews_james-andrews-md-b0c61dd7.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Jonattan Eduardo Angulo,Jonattan,Angulo,https://www.doximity.com/pub/jonattan-angulo-md,Oral & Maxillofacial Surgery,,,MD,Physician,"11900 E 12 Mile Rd, Ste 210, Warren, MI 48093",Warren,MI,MI State Medical License [2020 - 2027],,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Jonattan_Angulo_jonattan-angulo-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Simona C Arcan,Simona,Arcan,https://www.doximity.com/pub/simona-arcan-md,Oral & Maxillofacial Surgery,,,Arcan Oral Surgery,Arcan Oral Surgery,"16511 Goldenwest St, Ste 109, Huntington Beach, CA 92647",Huntington Beach,CA,CA State Medical License [1997 - 2027],"Keck School of Medicine of the University of Southern California - Class of 1998, MD, ACLS, BLS - none",American Board of Oral and Maxillofacial Surgery - Oral and Maxillofacial Surgery,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Simona_Arcan_simona-arcan-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Kevin Arce,Kevin,Arce,https://www.doximity.com/pub/kevin-arce-md,Oral & Maxillofacial Surgery,,,"Instructor in Surgery, Mayo Clinic","Instructor in Surgery, Mayo Clinic","200 1st St Sw, Rochester, MN 55905",Rochester,MN,"OR State Medical License [2002 - Present], MN State Medical License [2010 - 2027]","Mayo Clinic College of Medicine - Class of 2000, Mayo Clinic Q&A Podcast: Advances in Oral Cancer Treatment, Reconstruction - April 26th, 2022, #MayoClinicRadio Podcast: 7/21/18 - July 23rd, 2018",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Kevin_Arce_kevin-arce-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Monicka Arora,Monicka,Arora,https://www.doximity.com/pub/monicka-arora-md,Oral & Maxillofacial Surgery,,,MD,Physician,"4895 Windward Pkwy Ste 102, Alpharetta, GA 30004",Alpharetta,GA,,Boston University School of Medicine - Class of 2021,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Monicka_Arora_monicka-arora-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,George E Arquitt,George,Arquitt,https://www.doximity.com/pub/george-arquitt-md,Oral & Maxillofacial Surgery,,,MD,Physician,"1103 E Montclair St, Ste 100, Springfield, MO 65807",Springfield,MO,"MO State Medical License [2002 - 2029], OK State Medical License [1996 - 2026]",Vanderbilt University School of Medicine - Class of 1999,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\George_Arquitt_george-arquitt-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Nawaf Aslam-Pervez,Nawaf,Aslam-Pervez,https://www.doximity.com/pub/nawaf-aslam-pervez-md,Oral & Maxillofacial Surgery,,,Consultant,Consultant,"200 1st St SW, Rochester, MN 55905",Rochester,MN,"VA State Medical License [2018 - 2027], MN State Medical License [2018 - 2026]","Royal College of Surgeons Ireland - Class of 2006, Minnesota Board of Dentistry - D.D.S., Texas Board of Dentistry - Dental License",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Nawaf_Aslam-Pervez_nawaf-aslam-pervez-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Gabriel T Aslanian,Gabriel,Aslanian,https://www.doximity.com/pub/gabriel-aslanian-md,Oral & Maxillofacial Surgery,,,Board Certified Oral & Maxillofacial Surgeon,Board Certified Oral & Maxillofacial Surgeon,"9535 reseda blvd., #111, Northridge, CA 91324",Northridge,CA,,Stony Brook University Health Sciences Center School of Medicine - Class of 2000,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Gabriel_Aslanian_gabriel-aslanian-md.png,ok,
